,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
51,SPY220513P00438000,2022-04-06 18:02:07,438.0,7.77,6.7,6.73,0.0,0.0,29.0,230.0,0.2092364233398437,False,REGULAR,USD
52,SPY220513P00439000,2022-04-07 19:22:44,439.0,6.94,6.89,6.93,-1.2000003,-14.742019,18.0,72.0,0.20618469604492184,False,REGULAR,USD
53,SPY220513P00440000,2022-04-07 19:20:48,440.0,7.08,7.23,7.26,-1.1599998,-14.077668,230.0,2065.0,0.20539124694824218,False,REGULAR,USD
54,SPY220513P00441000,2022-04-07 19:14:41,441.0,7.17,7.44,7.47,-1.4099998,-16.433565,42.0,507.0,0.20218693328857418,False,REGULAR,USD
55,SPY220513P00442000,2022-04-07 19:14:41,442.0,7.42,7.77,7.8,-1.46,-16.44144,34.0,910.0,0.20099675964355468,False,REGULAR,USD
56,SPY220513P00443000,2022-04-07 19:01:43,443.0,7.87,8.04,8.07,-1.9400005,-19.775743,12.0,684.0,0.19849434326171872,False,REGULAR,USD
58,SPY220513P00445000,2022-04-07 19:13:32,445.0,8.28,8.61,8.65,-1.5700006,-15.939092,70.0,138.0,0.19358106231689454,False,REGULAR,USD
59,SPY220513P00446000,2022-04-07 17:32:39,446.0,10.17,8.87,8.91,-0.53999996,-5.0420165,36.0,122.0,0.1902546795654297,False,REGULAR,USD
60,SPY220513P00447000,2022-04-07 18:06:58,447.0,10.28,9.24,9.27,-0.13000011,-1.2488004,39.0,112.0,0.188484677734375,False,REGULAR,USD
63,SPY220513P00450000,2022-04-07 17:59:42,450.0,11.3,10.36,10.41,-0.47000027,-3.993205,32.0,325.0,0.1827779476928711,False,REGULAR,USD
64,SPY220513P00451000,2022-04-07 18:20:48,451.0,11.94,10.71,10.75,-0.27000046,-2.2113059,33.0,181.0,0.17966518585205077,True,REGULAR,USD
65,SPY220513P00452000,2022-04-07 19:11:04,452.0,10.74,11.13,11.17,-2.0200005,-15.830725,55.0,272.0,0.17768156311035155,True,REGULAR,USD
66,SPY220513P00453000,2022-04-07 19:06:32,453.0,11.3,11.46,11.51,-2.25,-16.605165,58.0,77.0,0.17401949035644532,True,REGULAR,USD
68,SPY220513P00455000,2022-04-07 18:59:16,455.0,12.65,12.36,12.59,-1.4300003,-10.156252,13.0,214.0,0.17285983398437502,True,REGULAR,USD
77,SPY220513P00465000,2022-04-07 18:23:06,465.0,19.91,17.89,18.26,-0.5300007,-2.5929582,13.0,33.0,0.15265739929199224,True,REGULAR,USD
78,SPY220513P00466000,2022-04-07 19:23:06,466.0,18.82,18.71,19.12,-3.3899994,-15.263392,34.0,22.0,0.15479360839843753,True,REGULAR,USD
