,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
0,SPY231215C00150000,2022-04-04 15:00:02+00:00,150.0,304.65,305.18,309.0,-6.25,-2.0102928,1.0,3,0.47223428161621095,True,REGULAR,USD
1,SPY231215C00155000,2022-03-21 14:02:45+00:00,155.0,289.84,300.33,304.5,0.0,0.0,2.0,1,0.47736118347167966,True,REGULAR,USD
2,SPY231215C00160000,2021-12-16 20:00:47+00:00,160.0,305.92,303.54,307.35,0.0,0.0,,0,0.6046487289428714,True,REGULAR,USD
3,SPY231215C00170000,2022-03-22 15:06:31+00:00,170.0,280.01,286.14,290.0,0.0,0.0,1.0,33,0.45477840148925786,True,REGULAR,USD
4,SPY231215C00180000,2022-03-08 16:05:27+00:00,180.0,242.5,276.87,280.5,0.0,0.0,3.0,3,0.4440363214111328,True,REGULAR,USD
5,SPY231215C00185000,2022-03-14 14:39:34+00:00,185.0,238.86,272.26,276.0,0.0,0.0,1.0,36,0.4442804595947265,True,REGULAR,USD
6,SPY231215C00190000,2021-12-16 20:00:47+00:00,190.0,275.89,274.03,277.77,0.0,0.0,10.0,16,0.5232286447143554,True,REGULAR,USD
7,SPY231215C00195000,2022-03-22 15:00:13+00:00,195.0,259.0,263.06,266.5,0.0,0.0,2.0,24,0.43195148132324224,True,REGULAR,USD
8,SPY231215C00200000,2022-03-29 16:20:39+00:00,200.0,263.75,258.47,262.0,0.0,0.0,2.0,63,0.4305782040405274,True,REGULAR,USD
9,SPY231215C00205000,2021-10-25 15:14:36+00:00,205.0,250.19,251.46,255.25,0.0,0.0,1.0,0,0.38245246459960935,True,REGULAR,USD
10,SPY231215C00210000,2021-11-01 17:14:51+00:00,210.0,250.0,240.34,244.09,0.0,0.0,2.0,34,1.0000000000000003e-05,True,REGULAR,USD
11,SPY231215C00215000,2022-03-29 13:58:39+00:00,215.0,248.14,244.78,248.5,0.0,0.0,1.0,6,0.4232540585327148,True,REGULAR,USD
12,SPY231215C00220000,2022-03-22 18:28:31+00:00,220.0,232.49,240.23,244.0,0.0,0.0,4.0,16,0.41998871032714846,True,REGULAR,USD
13,SPY231215C00225000,2022-03-22 18:07:43+00:00,225.0,228.58,235.69,238.5,0.0,0.0,2.0,129,0.40143420837402344,True,REGULAR,USD
14,SPY231215C00230000,2022-02-08 18:12:09+00:00,230.0,223.43,198.84,202.5,0.0,0.0,1.0,11,1.0000000000000003e-05,True,REGULAR,USD
15,SPY231215C00235000,2021-12-20 18:40:27+00:00,235.0,222.17,204.91,208.71,0.0,0.0,4.0,17,1.0000000000000003e-05,True,REGULAR,USD
16,SPY231215C00240000,2022-03-17 18:25:22+00:00,240.0,203.0,222.18,226.0,0.0,0.0,1.0,62,0.4042112802124024,True,REGULAR,USD
17,SPY231215C00245000,2022-02-18 15:30:06+00:00,245.0,196.71,205.37,209.63,0.0,0.0,6.0,13,1.0000000000000003e-05,True,REGULAR,USD
18,SPY231215C00250000,2022-03-29 15:58:34+00:00,250.0,217.73,213.23,217.0,0.0,0.0,1.0,157,0.395086615600586,True,REGULAR,USD
19,SPY231215C00255000,2022-03-31 16:43:19+00:00,255.0,209.99,208.78,212.5,0.0,0.0,1.0,82,0.39029540374755856,True,REGULAR,USD
20,SPY231215C00260000,2022-03-22 19:37:11+00:00,260.0,198.0,204.36,208.5,0.0,0.0,1.0,58,0.3907226455688476,True,REGULAR,USD
21,SPY231215C00265000,2022-01-10 15:49:13+00:00,265.0,198.0,195.86,199.0,0.0,0.0,1.0,92,0.3291998233032226,True,REGULAR,USD
22,SPY231215C00270000,2022-03-24 19:41:37+00:00,270.0,189.59,195.57,199.25,0.0,0.0,3.0,89,0.3776917700195312,True,REGULAR,USD
23,SPY231215C00275000,2022-04-04 16:57:50+00:00,275.0,192.0,191.18,195.0,1.6499939,0.86682105,2.0,33,0.37477737045288084,True,REGULAR,USD
24,SPY231215C00280000,2022-03-15 17:36:42+00:00,280.0,155.23,186.82,191.0,0.0,0.0,1.0,42,0.37390762817382805,True,REGULAR,USD
25,SPY231215C00285000,2022-03-29 15:51:50+00:00,285.0,187.15,182.49,186.5,0.0,0.0,3.0,26,0.36820089813232426,True,REGULAR,USD
