,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
69,SPY231215C00505000,2022-04-05 18:43:42,505.0,27.16,25.0,29.15,0.0,0.0,61.0,581,0.21083858016967771,False,REGULAR,USD
72,SPY231215C00520000,2022-04-06 19:19:44,520.0,20.06,19.28,21.45,0.0,0.0,21.0,2700,0.19386334709167483,False,REGULAR,USD
76,SPY231215C00540000,2022-04-07 18:56:12,540.0,14.7,13.04,17.2,-3.7300005,-20.238745,20.0,261,0.19461864959716796,False,REGULAR,USD
83,SPY231215C00575000,2022-04-07 15:42:19,575.0,7.6,6.21,9.14,-0.2800002,-3.553302,56.0,5254,0.1805196694946289,False,REGULAR,USD
84,SPY231215C00580000,2022-04-07 18:10:12,580.0,7.45,6.15,9.29,0.5,7.194245,37.0,764,0.18550924362182614,False,REGULAR,USD
85,SPY231215C00585000,2022-04-07 15:54:48,585.0,6.3,6.26,8.62,-0.19999981,-3.07692,242.0,612,0.18494467407226559,False,REGULAR,USD
86,SPY231215C00590000,2022-04-07 15:54:48,590.0,5.8,4.62,7.96,-0.2999997,-4.9180284,150.0,1812,0.18416648361206056,False,REGULAR,USD
87,SPY231215C00595000,2022-04-07 15:42:19,595.0,5.4,5.05,7.42,-0.1500001,-2.7027044,215.0,807,0.18396812133789062,False,REGULAR,USD
88,SPY231215C00600000,2022-04-07 15:23:51,600.0,5.25,4.9,6.0,0.05000019,0.9615421,80.0,5411,0.1765524240112305,False,REGULAR,USD
89,SPY231215C00605000,2022-04-07 16:48:15,605.0,4.55,3.46,6.41,-0.4699998,-9.362545,360.0,267,0.18335777587890623,False,REGULAR,USD
100,SPY231215C00660000,2022-04-07 18:09:11,660.0,2.15,2.1,2.47,-0.2099998,-8.898297,20.0,171,0.17646087219238282,False,REGULAR,USD
